# ----------------------------------------
# Pages and screens: Page path and screen class
# 계정: creatrip
# 속성: Creatrip GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260327
# 종료일: 20260423
페이지 경로 + 쿼리 문자열,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익,참여율,이탈률,세션당 평균 참여 시간
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnEC0tbWgC7t0YvPUZouVX0jqNQqBa68Z9nJYfWXQLPfRc-5myAvOpSuTYx1g_aem_hliQ-hlZmwB7WN0LqdEbAQ,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnFq2A7wpAkKzuGWn0Sby6NNbBMLUpbnZCwGuSQuzHcVtNa3eaahKxG27CDKg_aem_7mEZIbktljEr7J-hbsuXBQ,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnFtw0YWm3M8qd5y5b9T_DY_hvsRsKq_eiKu2z4lXHyKJgAQtDuRWtUG7jhY0_aem_mfABOj6J4KsPtQu6TcGJNQ,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnGMt0RnmcXQRBcktLG5xGlnhl1fVkDsODZQWNY3VD6iAj1JLk8BAf5vP8uXQ_aem_G7ZlTK5F5NM7NNCAFIN8FQ,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnIB-OdPDxmR0LF2WtfGNtQjOqjfEe2fd-pu7fXm7P8yEtGKvwtz1xTRPuvTU_aem_uX-Lv1ztYY25VrJAnguAJA,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnKmtME93glNlXgcfk5d308WAOjvQZOD5nqI7edtKEOKS424jTiljlJs11ATY_aem_VhmcGgudyXVuet4XiC03EA,1,1,1,0,1,0,0,1,0,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnLf_MkQyUJXwT5GqGeVnVRZINgn8aPCzE9u_oeD0QMpJpm1d22CTmVVellYk_aem_7pQP1mgu4GXoifB64dk85Q,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnMvw9JLoznczqni9fQf8muyA2-ZZACz_zGe3c9p8W1jeBQDGVyf7AGMLHzRY_aem_JiFXTvvDleVc5vNDJKzEFQ,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnObw8e7dBkR2py4dylHIhC1kHRzRAuvbYazHwc1-B5JHI74-aNB2ZoFFeawk_aem__yVhTyE0t3T0Z7HdT1m6yw,1,1,1,0,1,0,0,0,1,0
/itinerary-check?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPMTI0MDI0NTc0Mjg3NDE0AAGnQWkeMKYYtKW3mEcU42wI3t8YK4vWFqjamf3rVUgXHobU80qH29-Tt8Yj4Mc_aem_80f7a9bxxW_4oyEbMh6jog,1,0,0,0,1,0,0,0,1,0
