# ----------------------------------------
# Creatrip GA4
# 자유 양식-자유 형식 3
# 20260322-20260520
# ----------------------------------------

이벤트 이름,AppInstallBannerClick,총계
page_location,이벤트 수,이벤트 수
https://creatrip.com/zh-HK/blog/15051?utm_source=instagram_hk&utm_medium=manychat&utm_campaign=traffic_essentials&utm_content=seoultripmustread_260429,2,2
https://creatrip.com/zh-HK/blog/3759,1,1
https://creatrip.com/zh-HK/blog/4290,1,1
"https://creatrip.com/zh-HK/blog/4428/Studio KJD: Tiệm thuê hanbok cao cấp, dịch vụ chụp ảnh chuyên nghiệp gần Gyeongbokgung",2,2
https://creatrip.com/zh-HK/blog/4480,1,1
https://creatrip.com/zh-HK/blog/4481,1,1
https://creatrip.com/zh-HK/blog/4515,1,1
https://creatrip.com/zh-HK/blog/5500,2,2
https://creatrip.com/zh-HK/blog/7376/Seoul-City-Bike-Guide-to-Ddareungi-따릉이,1,1
https://creatrip.com/zh-HK/blog/8089,5,5
https://creatrip.com/zh-HK/blog/8670,1,1
"https://creatrip.com/zh-HK/blog/9563/How to Successfully Book Concert Tickets in Korea on Interpark, Melon, YES24, more!",1,1
https://creatrip.com/zh-TW/blog/10394,2,2
https://creatrip.com/zh-TW/blog/11534?utm_medium=sharing&utm_source=line,1,1
https://creatrip.com/zh-TW/blog/11590,1,1
https://creatrip.com/zh-TW/blog/11694?utm_source=instagram_tw&utm_medium=post&utm_campaign=traffic_beauty&utm_content=%ED%99%8D%EB%8C%80+%ED%97%A4%EC%96%B4%EC%83%B5+%EC%B4%9D%EC%A0%95%EB%A6%AC_250313&fbclid=PAT01DUAROlRVleHRuA2FlbQIxMABzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafKGRbUoE0Fj5YRLmlf2BFeFjO_HXxSdVSpxDmrUBVCyvL3-XkuvDicH1MvCQ_aem_L8eZJmVs_5wrw3eMSLDTmQ,1,1
https://creatrip.com/zh-TW/blog/12540,1,1
https://creatrip.com/zh-TW/blog/13065,2,2
https://creatrip.com/zh-TW/blog/13152,2,2
https://creatrip.com/zh-TW/blog/13219,1,1
https://creatrip.com/zh-TW/blog/13241,1,1
https://creatrip.com/zh-TW/blog/13326,1,1
https://creatrip.com/zh-TW/blog/13527,1,1
https://creatrip.com/zh-TW/blog/13586,1,1
https://creatrip.com/zh-TW/blog/13627,1,1
https://creatrip.com/zh-TW/blog/13651,1,1
https://creatrip.com/zh-TW/blog/13656,1,1
https://creatrip.com/zh-TW/blog/13737,1,1
https://creatrip.com/zh-TW/blog/13756,4,4
https://creatrip.com/zh-TW/blog/13759,2,2
https://creatrip.com/zh-TW/blog/13791,1,1
https://creatrip.com/zh-TW/blog/13880,1,1
https://creatrip.com/zh-TW/blog/13882,1,1
https://creatrip.com/zh-TW/blog/13975,1,1
https://creatrip.com/zh-TW/blog/14044,1,1
https://creatrip.com/zh-TW/blog/14198,1,1
https://creatrip.com/zh-TW/blog/14230,3,3
https://creatrip.com/zh-TW/blog/14233,2,2
https://creatrip.com/zh-TW/blog/14236,2,2
https://creatrip.com/zh-TW/blog/14246,1,1
https://creatrip.com/zh-TW/blog/14290,1,1
https://creatrip.com/zh-TW/blog/14302,1,1
https://creatrip.com/zh-TW/blog/14307,1,1
https://creatrip.com/zh-TW/blog/14341,1,1
https://creatrip.com/zh-TW/blog/14367,1,1
https://creatrip.com/zh-TW/blog/14439,1,1
https://creatrip.com/zh-TW/blog/14440,1,1
https://creatrip.com/zh-TW/blog/14537,2,2
https://creatrip.com/zh-TW/blog/14546,1,1
https://creatrip.com/zh-TW/blog/14605,1,1
https://creatrip.com/zh-TW/blog/14625,1,1
https://creatrip.com/zh-TW/blog/14663,1,1
https://creatrip.com/zh-TW/blog/14705,1,1
https://creatrip.com/zh-TW/blog/14712,2,2
https://creatrip.com/zh-TW/blog/14867,3,3
https://creatrip.com/zh-TW/blog/14900,1,1
https://creatrip.com/zh-TW/blog/14949,2,2
https://creatrip.com/zh-TW/blog/14954,1,1
https://creatrip.com/zh-TW/blog/14988?utm_medium=email&utm_campaign=membership_content&utm_source=email_tw,1,1
https://creatrip.com/zh-TW/blog/15009?utm_medium=email&utm_campaign=membership_content&utm_source=email_tw,1,1
https://creatrip.com/zh-TW/blog/1696,1,1
https://creatrip.com/zh-TW/blog/1740,1,1
https://creatrip.com/zh-TW/blog/2043,1,1
https://creatrip.com/zh-TW/blog/2353?utm_source=instagram_tw_travel&utm_medium=manychat&utm_campaign=traffic_branding&utm_content=language_260216,2,2
https://creatrip.com/zh-TW/blog/2353?utm_source=instagram_tw_travel&utm_medium=manychat&utm_campaign=traffic_branding&utm_content=language_260216&fbclid=PAVERFWAQshpVleHRuA2FlbQIxMABzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaesrg26XTYLhzwMFRp16EImwtW7OWyW-SzJpT3FMhmumTjMMzoQjqqhywFN_w_aem_WhD3tHpckA0Sab434oTUYg,1,1
https://creatrip.com/zh-TW/blog/2688,1,1
https://creatrip.com/zh-TW/blog/2901,14,14
https://creatrip.com/zh-TW/blog/3601,2,2
https://creatrip.com/zh-TW/blog/385,1,1
https://creatrip.com/zh-TW/blog/4290,4,4
https://creatrip.com/zh-TW/blog/4318,1,1
https://creatrip.com/zh-TW/blog/4468,1,1
https://creatrip.com/zh-TW/blog/4524/春節公休總整理,1,1
https://creatrip.com/zh-TW/blog/4647,2,2
https://creatrip.com/zh-TW/blog/4772,1,1
https://creatrip.com/zh-TW/blog/5075,9,9
https://creatrip.com/zh-TW/blog/5305,1,1
https://creatrip.com/zh-TW/blog/5372,1,1
https://creatrip.com/zh-TW/blog/5538,1,1
https://creatrip.com/zh-TW/blog/5538?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPNDM3NjI2MzE2OTczNzg4AAEebtQWzMqjNUl-DnlCcnJMjhqQPRPp2WezL4HdR50oQXfywPJp5T8qQYR84sQ_aem_ERL0kBpgmg0vCrrOsyizVA,3,3
https://creatrip.com/zh-TW/blog/5713,1,1
https://creatrip.com/zh-TW/blog/6269,1,1
https://creatrip.com/zh-TW/blog/703,2,2
https://creatrip.com/zh-TW/blog/7938?utm_source=facebook_tw_travel&utm_medium=video&utm_campaign=traffic_f%26b&utm_content=delivery_260417,2,2
https://creatrip.com/zh-TW/blog/9469,2,2
https://creatrip.com/zh-TW/blog/9911,1,1

