rank,blog_code,segment,impressions,clicks,ctr
253,2552,hidden,55,0,0.000000
254,2561,passing,1370,0,0.000000
255,2562,passing,193,0,0.000000
256,2563,killer,460,0,0.000000
257,2568,killer,785,0,0.000000
258,2587,passing,88,0,0.000000
259,2600,passing,483,0,0.000000
260,2602,passing,389,0,0.000000
261,2607,passing,578,0,0.000000
262,2612,killer,201,0,0.000000
263,2627,killer,556,0,0.000000
264,2654,비여행,84,0,0.000000
265,2655,killer,50,0,0.000000
266,2663,비여행,294,0,0.000000
267,2684,killer,61,0,0.000000
268,2688,비여행,309,0,0.000000
269,2690,비여행,196,0,0.000000
270,2695,passing,294,0,0.000000
271,2746,killer,94,0,0.000000
272,2784,passing,54,0,0.000000
273,2799,passing,162,0,0.000000
274,2801,killer,229,0,0.000000
275,2809,비여행,120,0,0.000000
276,2829,passing,293,0,0.000000
277,2836,비여행,77,0,0.000000
278,2846,hidden,72,0,0.000000
279,2849,passing,950,0,0.000000
280,2872,killer,139,0,0.000000
281,2884,비여행,371,0,0.000000
282,2914,passing,307,0,0.000000
283,2945,killer,146,0,0.000000
284,2952,hidden,99,0,0.000000
285,2963,비여행,303,0,0.000000
286,2969,killer,166,0,0.000000
287,2995,killer,154,0,0.000000
288,3003,비여행,105,0,0.000000
289,3048,passing,461,0,0.000000
290,3059,passing,1174,0,0.000000
291,3094,killer,169,0,0.000000
292,3098,비여행,380,0,0.000000
293,3106,killer,1831,0,0.000000
294,3116,hidden,131,0,0.000000
295,3117,passing,56,0,0.000000
296,3119,비여행,74,0,0.000000
297,3165,passing,4176,0,0.000000
298,3173,killer,654,0,0.000000
299,3174,비여행,218,0,0.000000
300,3196,passing,530,0,0.000000
301,3310,passing,998,0,0.000000
302,3401,killer,887,0,0.000000
303,3406,killer,51,0,0.000000
304,3502,passing,464,0,0.000000
305,3592,killer,310,0,0.000000
306,3600,hidden,258,0,0.000000
307,3625,passing,2539,0,0.000000
308,3626,killer,196,0,0.000000
309,3643,passing,242,0,0.000000
310,3709,passing,446,0,0.000000
311,3721,hidden,53,0,0.000000
312,3725,passing,198,0,0.000000
313,3764,hidden,103,0,0.000000
314,3768,passing,606,0,0.000000
315,3782,passing,177,0,0.000000
316,3818,low,71,0,0.000000
317,3829,killer,450,0,0.000000
318,3832,passing,696,0,0.000000
319,3849,killer,95,0,0.000000
320,3851,hidden,148,0,0.000000
321,3899,비여행,335,0,0.000000
322,3904,passing,595,0,0.000000
323,3908,비여행,154,0,0.000000
324,3909,hidden,86,0,0.000000
325,3938,low,205,0,0.000000
326,3951,killer,625,0,0.000000
327,4001,killer,297,0,0.000000
328,4024,비여행,89,0,0.000000
329,4027,killer,670,0,0.000000
330,4126,passing,217,0,0.000000
331,4145,killer,218,0,0.000000
332,4155,killer,78,0,0.000000
333,4156,hidden,219,0,0.000000
334,4211,비여행,61,0,0.000000
335,4217,killer,118,0,0.000000
336,4223,low,57,0,0.000000
337,4233,passing,72,0,0.000000
338,4238,passing,151,0,0.000000
339,4239,비여행,160,0,0.000000
340,4248,passing,64,0,0.000000
341,4249,비여행,322,0,0.000000
