blog_code,segment,impressions,clicks,ctr
5819,low,5,0,0.000000
7079,low,5,0,0.000000
4571,low,5,0,0.000000
5568,low,5,0,0.000000
6512,low,5,0,0.000000
6641,low,5,0,0.000000
2234,low,5,0,0.000000
4885,low,5,0,0.000000
7077,low,5,0,0.000000
6345,low,5,0,0.000000
5256,low,5,0,0.000000
6794,low,5,0,0.000000
2207,low,5,0,0.000000
4411,low,5,0,0.000000
2371,low,4,0,0.000000
4833,low,4,0,0.000000
4997,low,4,0,0.000000
6934,low,4,0,0.000000
4668,low,4,0,0.000000
5636,low,4,0,0.000000
7253,low,4,0,0.000000
1760,low,4,0,0.000000
2238,low,4,0,0.000000
4386,low,4,0,0.000000
4427,low,4,0,0.000000
4547,low,4,0,0.000000
5138,low,4,0,0.000000
5174,low,4,0,0.000000
5261,low,4,0,0.000000
5302,low,4,0,0.000000
5822,low,4,0,0.000000
154,low,3,0,0.000000
4976,low,3,0,0.000000
4994,low,3,0,0.000000
5513,low,3,0,0.000000
5758,low,3,0,0.000000
6314,low,3,0,0.000000
6804,low,3,0,0.000000
5517,low,3,0,0.000000
5548,low,3,0,0.000000
4631,low,3,0,0.000000
5033,low,3,0,0.000000
5961,low,3,0,0.000000
6241,low,3,0,0.000000
6746,low,3,0,0.000000
1639,low,3,0,0.000000
4316,low,3,0,0.000000
5211,low,3,0,0.000000
6063,low,3,0,0.000000
7208,low,3,0,0.000000
2885,low,3,0,0.000000
4198,low,3,0,0.000000
4357,low,3,0,0.000000
4374,low,3,0,0.000000
4530,low,3,0,0.000000
5028,low,3,0,0.000000
5271,low,3,0,0.000000
5469,low,3,0,0.000000
5474,low,3,0,0.000000
651,low,3,0,0.000000
5172,low,2,0,0.000000
6939,low,2,0,0.000000
6769,low,2,0,0.000000
4410,low,2,0,0.000000
4697,low,2,0,0.000000
4996,low,2,0,0.000000
5366,low,2,0,0.000000
6107,low,2,0,0.000000
6377,low,2,0,0.000000
6817,low,2,0,0.000000
7100,low,2,0,0.000000
4767,low,2,0,0.000000
5473,low,2,0,0.000000
6510,low,2,0,0.000000
4259,low,2,0,0.000000
5041,low,2,0,0.000000
5421,low,2,0,0.000000
5679,low,2,0,0.000000
6323,low,2,0,0.000000
7145,low,2,0,0.000000
5607,low,2,0,0.000000
5023,low,2,0,0.000000
6184,low,2,0,0.000000
7101,low,2,0,0.000000
5095,low,2,0,0.000000
4271,low,2,0,0.000000
4587,low,2,0,0.000000
4722,low,2,0,0.000000
4999,low,2,0,0.000000
5202,low,2,0,0.000000
5650,low,2,0,0.000000
5720,low,2,0,0.000000
6119,low,2,0,0.000000
6274,low,2,0,0.000000
6322,low,2,0,0.000000
921,low,2,0,0.000000
4221,low,1,0,0.000000
4362,low,1,0,0.000000
5308,low,1,0,0.000000
5220,low,1,0,0.000000
5300,low,1,0,0.000000
5617,low,1,0,0.000000
4436,low,1,0,0.000000
4621,low,1,0,0.000000
5653,low,1,0,0.000000
7230,low,1,0,0.000000
5291,low,1,0,0.000000
7176,low,1,0,0.000000
5522,low,1,0,0.000000
7008,low,1,0,0.000000
5397,low,1,0,0.000000
1018,low,1,0,0.000000
1402,low,1,0,0.000000
2599,low,1,0,0.000000
2887,low,1,0,0.000000
4834,low,1,0,0.000000
5137,low,1,0,0.000000
5141,low,1,0,0.000000
5482,low,1,0,0.000000
6846,low,1,0,0.000000
5223,passing,32522,8,0.000246
1696,passing,8465,1,0.000118
5708,passing,5704,0,0.000000
4723,passing,5579,0,0.000000
810,passing,4182,0,0.000000
5053,passing,4093,0,0.000000
414,passing,3382,0,0.000000
703,passing,3318,2,0.000603
3165,passing,3161,0,0.000000
5276,passing,3096,0,0.000000
319,passing,3018,0,0.000000
5386,passing,2818,0,0.000000
1740,passing,2686,2,0.000745
5655,passing,2538,7,0.002758
5797,passing,2322,4,0.001723
5549,passing,2313,7,0.003026
5604,passing,1915,0,0.000000
3001,passing,1905,0,0.000000
3625,passing,1787,0,0.000000
4558,passing,1783,1,0.000561
4468,passing,1753,1,0.000570
2030,passing,1708,0,0.000000
347,passing,1704,0,0.000000
1491,passing,1616,3,0.001856
4572,passing,1513,0,0.000000
2351,passing,1485,0,0.000000
963,passing,1435,0,0.000000
164,passing,1412,0,0.000000
2487,passing,1388,0,0.000000
1775,passing,1334,0,0.000000
1505,passing,1333,0,0.000000
1759,passing,1320,0,0.000000
5565,passing,1314,0,0.000000
4689,passing,1297,0,0.000000
1399,passing,1277,0,0.000000
2847,passing,1274,0,0.000000
1525,passing,1257,1,0.000796
2901,passing,1205,14,0.011618
7278,passing,1189,0,0.000000
4351,passing,1187,0,0.000000
2002,passing,1127,0,0.000000
4570,passing,1109,0,0.000000
2527,passing,1099,1,0.000910
4961,passing,1077,0,0.000000
5538,passing,1060,4,0.003774
3613,passing,1045,0,0.000000
2561,passing,1035,0,0.000000
2043,passing,1031,1,0.000970
1796,passing,970,0,0.000000
1435,passing,951,0,0.000000
5412,passing,942,0,0.000000
158,passing,926,1,0.001080
5353,passing,925,0,0.000000
6307,passing,900,1,0.001111
5680,passing,900,0,0.000000
6204,passing,891,0,0.000000
5619,passing,890,0,0.000000
5100,passing,885,0,0.000000
4768,passing,877,0,0.000000
3059,passing,871,0,0.000000
5684,passing,828,0,0.000000
5164,passing,815,0,0.000000
662,passing,776,0,0.000000
5044,passing,746,0,0.000000
2849,passing,740,0,0.000000
724,passing,706,0,0.000000
4758,passing,660,0,0.000000
4728,passing,631,5,0.007924
3310,passing,608,0,0.000000
2166,passing,585,0,0.000000
4603,passing,583,0,0.000000
1052,passing,578,0,0.000000
1925,passing,572,0,0.000000
4444,passing,572,2,0.003497
5263,passing,570,0,0.000000
4589,passing,553,0,0.000000
4753,passing,537,0,0.000000
5317,passing,528,0,0.000000
1951,passing,523,0,0.000000
4290,passing,521,6,0.011516
3452,passing,519,0,0.000000
4437,passing,501,0,0.000000
5523,passing,500,0,0.000000
2077,passing,499,0,0.000000
6721,passing,497,0,0.000000
4480,passing,493,6,0.012170
1493,passing,482,0,0.000000
1917,passing,470,0,0.000000
4867,passing,463,0,0.000000
