group,code,imp,clk,ctr,spots,view_count,like_count,title
ZERO,2360,246,0,0.000000,0,83553,572,한국 사람들이 좋아하는 연남동 추천
ZERO,2393,106,0,0.000000,0,32316,213,【水原旅遊】 서울에서 지하철 1호선을 타고 수원 당일치기 여행 하기! 세계문화유산인 수원화성에서 양궁체험과 고궁여행을 떠나세요!
ZERO,2398,468,0,0.000000,0,55595,154,韓國洋芋片必買款
ZERO,2412,908,0,0.000000,0,62578,481,한강공원 총정리
ZERO,2418,440,0,0.000000,0,42807,276,韓國「ARTBOX」分店整理
ZERO,2445,379,0,0.000000,0,80323,162,首爾夜店攻略
ZERO,2446,178,0,0.000000,0,64449,208,韓國OST/LLOYD/CLUE介紹
ZERO,2452,202,0,0.000000,2,11251,92,[트래볼루션] 서울(광화문) 시티투어버스
ZERO,2455,132,0,0.000000,0,33972,293,韓國必買CHICOR美妝賣場
ZERO,2462,159,0,0.000000,0,132295,207,이니스프리에서 인기 있는 라인 소개
ZERO,2476,152,0,0.000000,0,151108,68,【韓國文化】 서울지하상가에서는 한국에서 만든 옷을 사기 힘들다? MADE IN KOREA는 얼마나 될까?
ZERO,2487,1966,0,0.000000,8,214904,455,택시 팁
ZERO,2492,142,0,0.000000,0,71824,187,삼성동 총정리
ZERO,2505,239,0,0.000000,0,106095,20,【韓國文化】 왜 한국 드라마에는 모두 불륜과 바람이 나올까? 한국인들의 바람과 불륜！
ZERO,2514,498,0,0.000000,0,201779,608,韓國平價服飾品牌懶人包
ZERO,2528,493,0,0.000000,11,54250,922,광장시장 2022 업데이트
ZERO,2532,171,0,0.000000,0,33673,446,首爾創意市集整理
ZERO,2561,1370,0,0.000000,0,394534,1130,2019년 올리브영 명동 플래그쉽스토어 탐방기!
ZERO,2562,193,0,0.000000,0,77492,339,이태원 하루 여행하기
ZERO,2563,460,0,0.000000,0,60476,563,首爾夜景推薦
ZERO,2568,785,0,0.000000,0,97588,1075,명동길거리음식 추천
ZERO,2600,483,0,0.000000,0,145285,600,부산 남포동 맛집 총정리 (대만어기존)
ZERO,2602,389,0,0.000000,1,64125,526,韓國可獨自用餐餐廳推薦
ZERO,2607,578,0,0.000000,0,88276,511,釜山西面總整理
ZERO,2612,201,0,0.000000,0,36343,263,경복궁 카페 추천 TOP6
ZERO,2627,556,0,0.000000,0,144935,1191,서울 아침식사 총정리
ZERO,2663,294,0,0.000000,0,66510,24,【韓國文化】한국에서는 왜 태어나자마자 한살이 될까? 한국의 나이계산법!
ZERO,2688,309,0,0.000000,0,55833,44,예쁘기로 소문난 실제 한국 고등학교 교복
ZERO,2690,196,0,0.000000,0,15836,17,<與神同行>的7個地獄傳說
ZERO,2695,294,0,0.000000,0,163480,1010,한국 지하철 노선도 총정리！
ZERO,2799,162,0,0.000000,0,94945,18,【韓國文化】한국에 여행올 때 여기는 절대 가지마세요！한국에서 귀신이 나온다고 유명한 鬼屋와 凶宅！
ZERO,2801,229,0,0.000000,0,40590,731,서울의 떡볶이 맛집 추천
ZERO,2809,120,0,0.000000,0,98682,64,台韓飲食/用餐文化差異
ZERO,2829,293,0,0.000000,0,57005,189,永登浦「emart」探訪
ZERO,2849,950,0,0.000000,0,107424,621,동대문 맛집 총정리~
ZERO,2872,139,0,0.000000,1,27115,330,首爾龍山汗蒸幕體驗
ZERO,2884,371,0,0.000000,0,11200,9,【韓國文化】《哭聲》  《黑祭司》로 보는 韓國算命文化！칼위에서 춤을 춰도 발을 잘리지 않는다고？한국의 巫術  巫教(薩滿教)～
ZERO,2914,307,0,0.000000,0,33021,188,永登浦必吃美食 Top 8
ZERO,2945,146,0,0.000000,0,22310,389,【韓國美妝】不會韓文也沒關係！韓國自由旅行할때 꼭 필요한 화장품과 관련된 한국어 총정리！
ZERO,2963,303,0,0.000000,0,72669,71,2026韓國打工渡假申請指南/常見問答
ZERO,2969,166,0,0.000000,0,224568,1305,이대 쇼핑 탐방기
ZERO,2995,154,0,0.000000,0,85083,1018,명동 체험 총정리
ZERO,3003,105,0,0.000000,0,59074,113,한국사람들이 고기를 먹는 특별한 방법
ZERO,3048,461,0,0.000000,0,67719,351,【韓國文化】한국의 포장마차 문화！한국에서는 길거리에서 앉아서 음식을 먹을 수 있다고？！
ZERO,3059,1174,0,0.000000,0,112721,306,【韓國必買】2018년 최근 한국에서 꼭사가야할 한국라면 TOP10！한국에 여행온다면 必吃하세요～
ZERO,3094,169,0,0.000000,0,126538,537,한국 편의점에서 꼭 구매햐알 음식!
ZERO,3098,380,0,0.000000,0,293279,404,한국여행시 금기사항
ZERO,3106,1831,0,0.000000,0,246387,2020,한국 악세사리 쇼핑점 추천 TOP3
ZERO,3116,131,0,0.000000,0,47607,412,首爾「蠶室地下街」探訪攻略
ZERO,3165,4176,0,0.000000,0,265720,889,한국 여행 필수 기념품 목록
ZERO,3173,654,0,0.000000,0,187487,1071,홍대 홈플러스 탐방기!
ZERO,3174,218,0,0.000000,0,33672,14,【韓國文化】한국의 모텔 문화！한국에는 모텔이 왜 그렇게 많을까？한국 모텔의 비밀과 단점！
ZERO,3196,530,0,0.000000,0,132686,668,한국 모든 공항버스
ZERO,3310,998,0,0.000000,0,68019,650,한국 카페가이드 | 명동
ZERO,3401,887,0,0.000000,7,83138,1118,韓國人推薦必吃炸雞TOP7
ZERO,3502,464,0,0.000000,1,47815,420,남이섬
ZERO,3592,310,0,0.000000,2,74969,747,오늘하루한복 | 경복궁 한복
ZERO,3600,258,0,0.000000,0,14813,108,韓國必買人氣冰品總整理
ZERO,3625,2539,0,0.000000,0,157431,226,韓國燒酒21款推薦/酒精濃度整理
ZERO,3626,196,0,0.000000,0,93874,819,서울인사동공략법
ZERO,3643,242,0,0.000000,0,326152,328,한국 신발 브랜드 추천
