"spot_code","korean_name","publish_status","business_status","reservation_status","current_city","current_dl","legal_code","correct_city","correct_dl","correct_sigungu_code","poly_match_cnt","coord_status"
"2998","CAFÉ 동피랑에서","공개","영업중","예약불가","통영시","","","","","","0","해외_한국밖"
"10932","Komaya Ryokan","비공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"10960","NEO CAFE","공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"10961","good cho's","공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"10962","HAOXIU KAFFE","공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"10963","mooya cafe","공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"10964","2 J CAFE","공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"10965","Balcony Cafe ","공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"10966","광일카페 ","공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"10967","HOMEY' S CAFE","공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"10968","11 cafe","비공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"10969","petit doux cafe","공개","영업중","예약불가","","","","","","","0","해외_한국밖"
"11656","","비공개","영업중","예약불가","서울시","","","","","","0","해외_한국밖"
"13303","선물하기 화이트라벨 - 쿠폰 수령용 ","비공개","영업종료","예약불가","서울시","","","","","","0","해외_한국밖"
"13823","[어학당] 한국어 튜터링 서비스 - Teacher Anne","공개","영업중","예약가능","서울시","","","","","","0","해외_한국밖"
"13835","[어학당] 한국어 튜터링 서비스(시범수업) - Teacher Anne","공개","영업중","예약가능","서울시","","","","","","0","해외_한국밖"
"13837","[어학당] 한국어 튜터링 서비스(시범수업) - 손예림","비공개","영업종료","예약불가","서울시","","","","","","0","해외_한국밖"
"13841","[어학당] 한국어 튜터링 서비스 - 튜터 박성규","공개","영업중","예약가능","서울시","","","","","","0","해외_한국밖"
"13881","[어학당] 한국어 튜터링 서비스(시범수업) - 튜터 김은정","비공개","영업종료","예약가능","서울시","","","","","","0","해외_한국밖"
"13882","[어학당] 한국어 튜터링 서비스 - 김은정 (EunJeong Kim)","비공개","영업종료","예약가능","서울시","","","","","","0","해외_한국밖"
"14286","[어학당] 한국어 튜터링 서비스(시범수업) - 튜터 박성규","공개","영업중","예약가능","서울시","","","","","","0","해외_한국밖"
"14486","(신사업) 2025 4회 온오프라인 설명회 밝은눈안과 신청","비공개","영업종료","예약불가","대만","","","","","","0","해외_한국밖"
"14753","(신사업) 티유치과 오프라인 설명회 신청 ","공개","영업중","예약가능","대만","","","","","","0","해외_한국밖"
"14886","(신사업) 25.05 밝은눈안과 싱가포르 설명회 신청","공개","영업중","예약불가","한국","","","","","","0","해외_한국밖"
"14887","(신사업) 모모성형외과 싱가포르 설명회 신청","공개","영업중","예약불가","한국","","","","","","0","해외_한국밖"
"14920","(신사업) 아이리움안과 오프라인 설명회 신청 ","비공개","영업종료","예약불가","타이페이","","","","","","0","해외_한국밖"
"14974","[어학당] 집 찾기 관련 예약","공개","영업중","예약가능","서울시","","","","","","0","해외_한국밖"
