code,name_ko,name_en,parent_code,parent_city_ko,priority,spot_count,blog_count,lang_course_count,region_count,pub_region_count,total_links,class_1st,sgg_code,sgg_name,action,action_note,review
111,부경대,Pukyong National Univ.,,,46,24,1,0,0,0,25,관광지,26290,남구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
110,부산역,Busan station,,,45,22,0,0,0,0,22,관광지,26170,동구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
93,왕십리,Wangsipli,,,29,20,4,0,0,0,24,관광지,11200,성동구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
97,남산,Namsan,,,33,18,8,0,0,0,26,관광지,11140,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
141,차이나타운,China Town,,,75,17,0,0,1,0,18,관광지,28110,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
102,청량리,Cheongnyangni,,,38,16,11,1,0,0,28,관광지,11230,동대문구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
96,합정,Hapjeong,,,32,16,20,0,0,0,36,관광지,11440,마포구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
100,노량진,Noryangjin,,,36,15,4,0,0,0,19,관광지,11590,동작구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
136,성산,Seongsan,,,70,15,3,0,0,0,18,관광지,50110,제주시,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
114,송도,Songdo,,,49,14,13,0,0,0,27,관광지,28185,연수구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
149,북촌,Bukchon,,,83,12,29,0,0,0,41,관광지,11110,종로구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
134,세화,Sehwa,,,68,9,0,0,0,0,9,관광지,50110,제주시,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
120,시청,City Hall,,,55,9,8,0,0,0,17,관광지,11140,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
132,협재,Hyeopjae,,,66,8,1,0,0,0,9,관광지,50110,제주시,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
103,공덕,Gongdeok,,,39,7,5,0,0,0,12,관광지,11440,마포구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
479,안국,Anguk,,,145,7,9,0,0,0,16,관광지,11110,종로구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
65,창덕궁,Changdukgung,,,1,6,6,0,0,0,12,관광지,11110,종로구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
189,고려대학교,Korea Univ,,,88,5,3,1,0,0,9,관광지,11290,성북구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
90,남대문,Namdaemun,,,26,4,8,0,0,0,12,관광지,11140,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
92,동묘,Dongmyo,,,28,4,4,0,0,0,8,관광지,11110,종로구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
219,동성로,Dongseong-ro,,,122,4,2,0,0,0,6,관광지,27110,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
121,부산대,Busan Univ.,,,56,4,1,0,0,0,5,관광지,26410,금정구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
414,전포,Jeonpo,,,137,4,5,0,0,0,9,관광지,26230,부산진구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
483,중문,Jungmun,,,149,4,3,0,0,0,7,관광지,50130,서귀포시,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
485,함덕/구좌,Hamdok/Gujwa,,,152,4,4,0,0,0,8,관광지,50110,제주시,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
229,반월당,Banwoldang,,,131,3,6,0,0,0,9,관광지,27110,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
214,서울대입구,Seoul National Univ,,,117,3,7,0,0,0,10,관광지,11620,관악구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),Y
146,수유,Suyu,,,80,3,1,0,0,0,4,관광지,11305,강북구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
221,신림,Sillim,,,123,3,1,0,0,0,4,관광지,11620,관악구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
484,표선,Pyeoseon,,,151,3,3,0,0,0,6,관광지,50130,서귀포시,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
188,경희대학교,Kyunghee Univ,,,87,2,2,0,0,0,4,관광지,11140,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
887,김포공항,Gimpo Airport,,,155,2,4,0,0,0,6,관광지,11500,강서구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
150,상수,Sangsu,,,84,2,4,0,0,0,6,관광지,11440,마포구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
144,성신여대,Sungshin Women's Univ.,,,78,2,0,0,0,0,2,관광지,11290,성북구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
734,우도,Udo,,,153,2,2,0,0,0,4,관광지,50110,제주시,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
187,이화여자대학교,Ewha Womens Univ,,,86,2,0,0,0,0,2,관광지,11140,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
217,중앙로(대구),Jungangno,,,120,2,7,0,0,0,9,관광지,27110,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
228,청사포,Cheongsapo,,,130,2,3,0,0,0,5,관광지,26350,해운대구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
486,대림,Daerim,,,150,1,0,0,0,0,1,관광지,11560,영등포구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
411,문래,Munllae,,,134,1,1,0,0,0,2,관광지,11560,영등포구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
222,상봉,Sangbong,,,125,1,0,0,0,0,1,관광지,11140,중구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
145,신대방,Sindaebang,,,79,1,0,0,0,0,1,관광지,11620,관악구,격상후보,팀결정: 유지=REGION생성 / 드롭=구흡수(소속구 재태깅),
